"InsetL [um]","ResFreq [GHz]","Freq [GHz]","dB(S(1,1)) []"
5,300,328.125,-1.03276358281991
5,300,328.75,-1.00084626574944
5,300,329.375,-0.970606025972892
5,300,330,-0.941933554879666
5,300,330.625,-0.914727883189245
5,300,331.25,-0.888895674341593
5,300,331.875,-0.864350581373279
5,300,332.5,-0.841012661600871
5,300,333.125,-0.818807843872825
5,300,333.75,-0.797667443578413
5,300,334.375,-0.777527721011199
5,300,335,-0.758329479070083
5,300,335.625,-0.740017696641768
5,300,336.25,-0.72254119434253
5,300,336.875,-0.70585232960563
5,300,337.5,-0.68990671838305
5,300,338.125,-0.674662980988922
5,300,338.75,-0.660082509846957
5,300,339.375,-0.646129257118329
5,300,340,-0.632769540380156
5,300,340.625,-0.619971864700365
5,300,341.25,-0.607706759613455
5,300,341.875,-0.595946629645177
5,300,342.5,-0.584665617163453
5,300,343.125,-0.573839476449805
5,300,343.75,-0.563445457990828
5,300,344.375,-0.553462202084234
5,300,345,-0.543869640939592
5,300,345.625,-0.534648908531131
5,300,346.25,-0.525782257529546
5,300,346.875,-0.517252982702474
5,300,347.5,-0.509045350229953
5,300,348.125,-0.501144532432295
5,300,348.75,-0.493536547453723
5,300,349.375,-0.486208203486974
5,300,350,-0.47914704716151
5,300,350.625,-0.47234131575193
5,300,351.25,-0.465779892894035
5,300,351.875,-0.459452267523646
5,300,352.5,-0.453348495778486
5,300,353.125,-0.447459165626162
5,300,353.75,-0.44177536400201
5,300,354.375,-0.43628864625917
5,300,355,-0.430991007750281
5,300,355.625,-0.425874857375587
5,300,356.25,-0.420932992946262
5,300,356.875,-0.416158578224366
5,300,357.5,-0.411545121512631
5,300,358.125,-0.407086455677501
5,300,358.75,-0.402776719498719
5,300,359.375,-0.398610340247312
5,300,360,-0.394582017401798
5,300,360.625,-0.3906867074198
5,300,361.25,-0.386919609488739
5,300,361.875,-0.38327615218548
5,300,362.5,-0.379751980980213
5,300,363.125,-0.376342946524958
5,300,363.75,-0.373045093671776
5,300,364.375,-0.369854651169902
5,300,365,-0.366768021994974
5,300,365.625,-0.363781774267067
5,300,366.25,-0.360892632717515
5,300,366.875,-0.358097470667545
5,300,367.5,-0.355393302484381
5,300,368.125,-0.352777276483172
5,300,368.75,-0.350246668245303
5,300,369.375,-0.347798874325864
5,300,370,-0.345431406324927
5,300,370.625,-0.343141885299282
5,300,371.25,-0.340928036492721
5,300,371.875,-0.338787684364682
5,300,372.5,-0.336718747898486
5,300,373.125,-0.334719236171524
5,300,373.75,-0.332787244171242
5,300,374.375,-0.330920948841711
5,300,375,-0.329118605346604
10,300,125,-0.0838905555684505
10,300,125.625,-0.0842840124693165
10,300,126.25,-0.0846801720889221
10,300,126.875,-0.0850791079770779
10,300,127.5,-0.0854808948370047
10,300,128.125,-0.0858856085906114
10,300,128.75,-0.0862933264453948
10,300,129.375,-0.0867041269631066
10,300,130,-0.0871180901301686
10,300,130.625,-0.0875352974300526
10,300,131.25,-0.0879558319176228
10,300,131.875,-0.0883797782955773
10,300,132.5,-0.0888072229930986
10,300,133.125,-0.0892382542467511
10,300,133.75,-0.0896729621837963
10,300,134.375,-0.0901114389079577
10,300,135,-0.0905537785877919
10,300,135.625,-0.0910000775477235
10,300,136.25,-0.0914504343618533
10,300,136.875,-0.0919049499506755
10,300,137.5,-0.0923637276807425
10,300,138.125,-0.0928268734674289
10,300,138.75,-0.0932944958808802
10,300,139.375,-0.0937667062552403
10,300,140,-0.0942436188012558
10,300,140.625,-0.094725350722367
10,300,141.25,-0.0952120223343629
10,300,141.875,-0.0957037571887172
10,300,142.5,-0.096200682199678
10,300,143.125,-0.0967029277751996
10,300,143.75,-0.0972106279518319
10,300,144.375,-0.0977239205335832
10,300,145,-0.098242947234922
10,300,145.625,-0.0987678538279119
10,300,146.25,-0.099298790293601
10,300,146.875,-0.0998359109776825
10,300,147.5,-0.100379374750529
10,300,148.125,-0.100929345171601
10,300,148.75,-0.101485990658316
10,300,149.375,-0.10204948465938
10,300,150,-0.10262000583262
10,300,150.625,-0.103197738227325
10,300,151.25,-0.103782871471127
10,300,151.875,-0.104375600961388
10,300,152.5,-0.104976128061113
10,300,153.125,-0.105584660299364
10,300,153.75,-0.106201411576123
10,300,154.375,-0.10682660237162
10,300,155,-0.10746045996002
10,300,155.625,-0.108103218627488
10,300,156.25,-0.108755119894506
10,300,156.875,-0.109416412742455
10,300,157.5,-0.110087353844313
10,300,158.125,-0.110768207799511
10,300,158.75,-0.111459247372783
10,300,159.375,-0.112160753737024
10,300,160,-0.112873016720065
10,300,160.625,-0.113596335055363
10,300,161.25,-0.114331016636535
10,300,161.875,-0.1150773787758
10,300,162.5,-0.115835748466281
10,300,163.125,-0.116606462648306
10,300,163.75,-0.117389868479713
10,300,164.375,-0.118186323610385
10,300,165,-0.11899619646119
10,300,165.625,-0.119819866507523
10,300,166.25,-0.120657724567902
10,300,166.875,-0.121510173097944
10,300,167.5,-0.122377626490258
10,300,168.125,-0.123260511380889
10,300,168.75,-0.124159266963032
10,300,169.375,-0.125074345308871
10,300,170,-0.126006211700572
10,300,170.625,-0.126955344971578
10,300,171.25,-0.127922237859525
10,300,171.875,-0.12890739737233
10,300,172.5,-0.12991134516911
10,300,173.125,-0.130934617957929
10,300,173.75,-0.13197776791244
10,300,174.375,-0.13304136310987
10,300,175,-0.134125987993003
10,300,175.625,-0.135232243858998
10,300,176.25,-0.13636074937833
10,300,176.875,-0.137512141147286
10,300,177.5,-0.138687074277825
10,300,178.125,-0.139886223028957
10,300,178.75,-0.141110281484027
10,300,179.375,-0.1423599642788
10,300,180,-0.143636007385435
10,300,180.625,-0.144939168957958
10,300,181.25,-0.146270230245127
10,300,181.875,-0.14762999657708
10,300,182.5,-0.149019298432564
10,300,183.125,-0.150438992593949
10,300,183.75,-0.151889963397832
10,300,184.375,-0.153373124089462
10,300,185,-0.154889418289824
10,300,185.625,-0.156439821584857
10,300,186.25,-0.158025343246921
10,300,186.875,-0.159647028099424
10,300,187.5,-0.161305958536347
10,300,188.125,-0.163003256709369
10,300,188.75,-0.164740086896388
10,300,189.375,-0.166517658066479
10,300,190,-0.168337226657771
10,300,190.625,-0.170200099586429
10,300,191.25,-0.172107637506808
10,300,191.875,-0.174061258345205
10,300,192.5,-0.176062441132225
10,300,193.125,-0.178112730162029
10,300,193.75,-0.180213739510333
10,300,194.375,-0.182367157947522
10,300,195,-0.184574754288477
10,300,195.625,-0.186838383226862
10,300,196.25,-0.189159991709194
10,300,196.875,-0.191541625912875
10,300,197.5,-0.193985438903149
10,300,198.125,-0.196493699056896
10,300,198.75,-0.199068799356933
10,300,199.375,-0.201713267679597
10,300,200,-0.204429778221685
10,300,200.625,-0.207221164241576
10,300,201.25,-0.210090432324523
10,300,201.875,-0.213040778425943
10,300,202.5,-0.216075606000817
10,300,203.125,-0.219198546595427
10,300,203.75,-0.222413483363176
10,300,204.375,-0.22572457807454
10,300,205,-0.229136302328845
10,300,205.625,-0.232653473851749
10,300,206.25,-0.236281298989262
10,300,206.875,-0.240025422802892
10,300,207.5,-0.243891988553981
10,300,208.125,-0.247887708868209
10,300,208.75,-0.252019951536229
10,300,209.375,-0.256296843790992
10,300,210,-0.260727400087619
10,300,210.625,-0.265321680011028
10,300,211.25,-0.270090985109319
10,300,211.875,-0.275048106423304
10,300,212.5,-0.280207638574683
10,300,213.125,-0.285586381942836
10,300,213.75,-0.29120386234841
10,300,214.375,-0.297083008678105
10,300,215,-0.303251044285393
10,300,215.625,-0.309740669462359
10,300,216.25,-0.316591641887357
10,300,216.875,-0.323852901904315
10,300,217.5,-0.331585440942864
10,300,218.125,-0.339866171148458
10,300,218.75,-0.348793106000786
10,300,219.375,-0.358492153639867
10,300,220,-0.369125615794143
10,300,220.625,-0.380901719674045
10,300,221.25,-0.394082343806677
10,300,221.875,-0.408980688094633
10,300,222.5,-0.425928554093474
10,300,223.125,-0.445170193209576
10,300,223.75,-0.4666120360932
10,300,224.375,-0.489377121918946
10,300,225,-0.511330804685297
10,300,225.625,-0.529250249537933
10,300,226.25,-0.540393295583142
10,300,226.875,-0.544584800611482
10,300,227.5,-0.544386241061005
10,300,228.125,-0.543123704403265
10,300,228.75,-0.543156778320493
10,300,229.375,-0.545559735680963
10,300,230,-0.550560546656637
10,300,230.625,-0.558005374685964
10,300,231.25,-0.567631940326513
10,300,231.875,-0.579189949598218
10,300,232.5,-0.592480854939058
10,300,233.125,-0.607363334485051
10,300,233.75,-0.623746976016679
10,300,234.375,-0.641583486515453
10,300,235,-0.660858741219488
10,300,235.625,-0.681586541367961
10,300,236.25,-0.703804065473021
10,300,236.875,-0.727568743140496
10,300,237.5,-0.752956255968663
10,300,238.125,-0.780059417825346
10,300,238.75,-0.808987747553004
10,300,239.375,-0.839867601480345
10,300,240,-0.872842776686331
10,300,240.625,-0.90807552955837
10,300,241.25,-0.945747979939381
10,300,241.875,-0.986063891205509
10,300,242.5,-1.02925083271796
10,300,243.125,-1.07556274459116
10,300,243.75,-1.1252829365963
10,300,244.375,-1.17872756397066
10,300,245,-1.23624963339591
10,300,245.625,-1.29824360271769
10,300,246.25,-1.36515064819448
10,300,246.875,-1.43746468307187
10,300,247.5,-1.51573922071015
10,300,248.125,-1.60059518363032
10,300,248.75,-1.69272976546776
10,300,249.375,-1.7929264539812
10,300,250,-1.90206631691201
10,300,250.625,-2.02114063393799
10,300,251.25,-2.15126492004583
10,300,251.875,-2.29369431738859
10,300,252.5,-2.44984021728085
10,300,253.125,-2.62128778546231
10,300,253.75,-2.80981376177475
10,300,254.375,-3.01740342657465
10,300,255,-3.24626486997439
10,300,255.625,-3.49883750513531
10,300,256.25,-3.77778987253406
10,300,256.875,-4.08599876433499
10,300,257.5,-4.42649686769847
10,300,258.125,-4.80236837617609
10,300,258.75,-5.21655962477951
10,300,259.375,-5.6715522610741
10,300,260,-6.16881670459773
10,300,260.625,-6.70792175977169
10,300,261.25,-7.28512776348069
10,300,261.875,-7.89126648111253
10,300,262.5,-8.50880854295323
10,300,263.125,-9.10846565479722
10,300,263.75,-9.64681418794814
10,300,264.375,-10.0682577351915
10,300,265,-10.3154738758462
10,300,265.625,-10.3483464600255
10,300,266.25,-10.1616654664044
10,300,266.875,-9.78765843606635
10,300,267.5,-9.28109875128001
10,300,268.125,-8.69936008018024
10,300,268.75,-8.08943006906126
10,300,269.375,-7.48409594503719
10,300,270,-6.9035881623687
10,300,270.625,-6.35892075063011
10,300,271.25,-5.85500762326136
10,300,271.875,-5.39299145588638
10,300,272.5,-4.9718150160942
10,300,273.125,-4.58922473772377
10,300,273.75,-4.2423903072743
10,300,274.375,-3.92827708719596
10,300,275,-3.64386342160291
10,300,275.625,-3.3862619526614
10,300,276.25,-3.15278213800924
10,300,276.875,-2.94095715977937
10,300,277.5,-2.74854964605488
10,300,278.125,-2.57354516405212
10,300,278.75,-2.41413904046128
10,300,279.375,-2.26871993489606
10,300,280,-2.13585225426531
10,300,280.625,-2.0142586521823
10,300,281.25,-1.9028033251367
10,300,281.875,-1.80047648225441
10,300,282.5,-1.7063801566654
10,300,283.125,-1.61971539855037
10,300,283.75,-1.53977081391107
10,300,284.375,-1.46591237034922
10,300,285,-1.39757436953758
10,300,285.625,-1.33425147773761
10,300,286.25,-1.27549170551594
10,300,286.875,-1.22089023238823
10,300,287.5,-1.17008397930753
10,300,288.125,-1.12274684033124
10,300,288.75,-1.07858549357651
10,300,289.375,-1.03733572018147
10,300,290,-0.998759168123976
10,300,290.625,-0.962640505250884
10,300,291.25,-0.928784912672482
10,300,291.875,-0.897015875769809
10,300,292.5,-0.867173235471961
10,300,293.125,-0.839111467231983
10,300,293.75,-0.812698159317641
10,300,294.375,-0.787812665695219
10,300,295,-0.764344911978156
10,300,295.625,-0.742194335691657
10,300,296.25,-0.721268944520171
10,300,296.875,-0.701484478302351
10,300,297.5,-0.682763662358514
10,300,298.125,-0.665035541315552
10,300,298.75,-0.648234883964426
10,300,299.375,-0.632301650875528
10,300,300,-0.617180517529572
10,300,300.625,-0.602820446619466
10,300,301.25,-0.589174303958309
10,300,301.875,-0.576198513107594
10,300,302.5,-0.563852744430464
10,300,303.125,-0.552099634790037
10,300,303.75,-0.540904534562041
10,300,304.375,-0.530235279023475
10,300,305,-0.520061981521904
10,300,305.625,-0.5103568461304
10,300,306.25,-0.501093997756018
10,300,306.875,-0.492249327900417
10,300,307.5,-0.483800354473961
10,300,308.125,-0.475726094242574
10,300,308.75,-0.468006946643493
10,300,309.375,-0.46062458784422
10,300,310,-0.453561874040761
10,300,310.625,-0.446802753098939
10,300,311.25,-0.440332183737783
10,300,311.875,-0.434136061538113
10,300,312.5,-0.428201151134379
10,300,313.125,-0.422515024013724
10,300,313.75,-0.417066001405499
10,300,314.375,-0.411843101796414
10,300,315,-0.40683599265346
10,300,315.625,-0.402034945977969
10,300,316.25,-0.397430797351491
10,300,316.875,-0.393014908167046
10,300,317.5,-0.388779130769082
10,300,318.125,-0.384715776251818
10,300,318.75,-0.380817584689474
10,300,319.375,-0.377077697593158
10,300,320,-0.373489632408197
10,300,320.625,-0.370047258883064
10,300,321.25,-0.366744777156282
10,300,321.875,-0.363576697421747
10,300,322.5,-0.360537821045427
10,300,323.125,-0.357623223017621
10,300,323.75,-0.354828235635278
10,300,324.375,-0.352148433318052
10,300,325,-0.349579618470143
10,300,325.625,-0.347117808307478
10,300,326.25,-0.344759222576753
10,300,326.875,-0.342500272098945
10,300,327.5,-0.340337548075619
10,300,328.125,-0.338267812101477
10,300,328.75,-0.33628798683122
10,300,329.375,-0.334395147253066
10,300,330,-0.332586512525149
10,300,330.625,-0.330859438334469
10,300,331.25,-0.32921140974136
10,300,331.875,-0.327640034475338
10,300,332.5,-0.326143036650878
10,300,333.125,-0.324718250874084
10,300,333.75,-0.323363616713516
10,300,334.375,-0.322077173510465
10,300,335,-0.320857055505821
10,300,335.625,-0.319701487262452
10,300,336.25,-0.318608779363545
10,300,336.875,-0.317577324368872
10,300,337.5,-0.31660559301221
10,300,338.125,-0.315692130624445
10,300,338.75,-0.314835553767935
10,300,339.375,-0.314034547068857
10,300,340,-0.31328786023511
10,300,340.625,-0.312594305248292
10,300,341.25,-0.311952753719116
10,300,341.875,-0.311362134396257
10,300,342.5,-0.310821430819476
10,300,343.125,-0.310329679108416
10,300,343.75,-0.30988596587905
10,300,344.375,-0.309489426280368
10,300,345,-0.309139242144353
10,300,345.625,-0.308834640242843
10,300,346.25,-0.30857489064516
10,300,346.875,-0.308359305170976
10,300,347.5,-0.308187235933147
10,300,348.125,-0.308058073965651
10,300,348.75,-0.307971247932022
10,300,349.375,-0.307926222910087
10,300,350,-0.307922499248991
10,300,350.625,-0.307959611494818
10,300,351.25,-0.308037127381334
10,300,351.875,-0.308154646882614
10,300,352.5,-0.308311801324562
10,300,353.125,-0.308508252552445
10,300,353.75,-0.308743692151862
10,300,354.375,-0.309017840720638
10,300,355,-0.309330447189386
10,300,355.625,-0.30968128818857
10,300,356.25,-0.310070167460047
10,300,356.875,-0.31049691531127
10,300,357.5,-0.310961388110368
10,300,358.125,-0.311463467820513
10,300,358.75,-0.312003061572028
10,300,359.375,-0.31258010127085
10,300,360,-0.31319454324206
10,300,360.625,-0.313846367907248
10,300,361.25,-0.314535579494581
10,300,361.875,-0.31526220578055
10,300,362.5,-0.31602629786245
10,300,363.125,-0.316827929960648
10,300,363.75,-0.317667199249935
10,300,364.375,-0.318544225719086
10,300,365,-0.319459152058047
10,300,365.625,-0.320412143572084
10,300,366.25,-0.321403388122347
10,300,366.875,-0.32243309609235
10,300,367.5,-0.32350150037989
10,300,368.125,-0.324608856414054
10,300,368.75,-0.325755442196917
10,300,369.375,-0.326941558369679
10,300,370,-0.328167528302935
10,300,370.625,-0.329433698210918
10,300,371.25,-0.330740437289534
10,300,371.875,-0.33208813787804
10,300,372.5,-0.333477215644328
10,300,373.125,-0.33490810979374
10,300,373.75,-0.336381283301447
10,300,374.375,-0.337897223168362
10,300,375,-0.339456440700756
15,300,125,-0.091225336436639
15,300,125.625,-0.0913188840621141
15,300,126.25,-0.0914238450273942
15,300,126.875,-0.0915399920103778
15,300,127.5,-0.0916671049729833
15,300,128.125,-0.0918049709702104
15,300,128.75,-0.0919533839659691
15,300,129.375,-0.0921121446554707
15,300,130,-0.0922810602939394
15,300,130.625,-0.0924599445314472
15,300,131.25,-0.0926486172536965
15,300,131.875,-0.0928469044285128
15,300,132.5,-0.0930546379578921
15,300,133.125,-0.0932716555354509
15,300,133.75,-0.0934978005090542
15,300,134.375,-0.0937329217485145
15,300,135,-0.0939768735181859
15,300,135.625,-0.0942295153543016
15,300,136.25,-0.0944907119469277
15,300,136.875,-0.0947603330263999
15,300,137.5,-0.0950382532541006
